,Date,User,Tweet,Likes,Hashtags,Language
18,2021-12-13 19:02:50+00:00,mhelrsrioo,kakauwe lang potek kala naman walang online class :((,1,,tl
19,2021-12-13 01:47:50+00:00,bboibigboy,Teka lang bat may nag-aattendance sa live hahaha online class nyo ba yan 😄💙 #MissUniverse #Philippines,1,"['MissUniverse', 'Philippines']",tl
20,2021-12-13 00:01:03+00:00,jorlouise,"me waking up for online class: 😴🥱
me waking up for miss u: 🤩🥰😌",5,,en
21,2021-12-12 23:09:29+00:00,frsndirishann_,online class na naman 😭,1,,tl
22,2021-12-12 01:27:55+00:00,jghamoranto,"For me, yung mga taong di naka-experience ng online class ay dapat manahimik at wala dapat opinyon dahil di niyo alam kung gaano kahirap to. Akala kasi nila eh mas madali kasi ""ONLINE LANG"". Haaays. Mas draining kaya tong online setup. 🥲 https://t.co/yZUpaWKeHN",4,,tl
23,2021-12-10 17:02:35+00:00,_naceee,Online class dako kwarta sa skwelahan gamay natunan sa studyante horay,1,,tl
24,2021-12-09 15:48:50+00:00,jedferraris_,"Well-spent day. 
☑️ Police Clearance
☑️ Car Maintenance
☑️ Online Class
☑️ Mock Defense
☑️ Workout
☑️ Debriefing
☑️ Presentation Slides",1,,en
25,2021-12-09 13:22:58+00:00,thommygroot,Luh si Atty bet mag f2f eh may next sem naman na :( Sulitin niyo na po this sem na online class.,0,,tl
26,2021-12-09 11:30:25+00:00,awnessbee_,im so sorry but im just glad i didnt get to experience online class. i might literally go insane,8,,en
27,2021-12-09 05:36:58+00:00,kenduenas6,Nakakabobo online class kaumay,0,,tl
28,2021-12-09 02:45:33+00:00,rrmparedes,Kapoya aning online class uy mag nba2k nalang ta bi.,0,,tl
29,2021-12-09 00:39:21+00:00,onelove0220,"Online class (music)... 
Teacher: kids alam nyo po ba ang bahay kubo? 
Kids: yeeeees!!!
At may isang sumagot ng “hindi po” 
Teacher: anong alam mong songs ____? 
Student: love songs po! 

Ay utas 🤣🤣🤣 
Sige anak ibirit mo yang love song mo! Hahaha",0,,tl
30,2021-12-09 00:39:19+00:00,immawijoi,Tuyo na ta. Pero may online class pa.🥱,0,,tl
31,2021-12-07 13:21:51+00:00,Akihirokurasam1,Pengeng Load 50 pang internet lng need ra jud sa online class..kinsay free ugma..gamiti ko ninjo kapalit.load...,4,,tl
32,2021-12-07 11:37:59+00:00,maj_ellaxx,hahahaha nag online class ako ng walang ligo,1,,tl
33,2021-12-07 03:28:55+00:00,fatsybellacorta,"Ang saya ng online class, nakain ka sa Mang Inasal habang nagkklase ka. Computer Programming pa 🤦🏻‍♀️🤣",0,,tl
34,2021-12-07 03:27:27+00:00,izhedit,"Mama: *nagtuturo sa online class nya* Bakit malungkot si Hannah?

Me: *sa isip ko* Kasi wala syang pera. 🤣",1,,tl
35,2021-12-07 02:13:45+00:00,Sevyyy27,"Online class ba kamooo 😂 Bigla ba namang nanuod ang kuya ko ng #JirisanEp1. 😳 Wala na, multi-tasking talaga ko dito sa OM 🥴 https://t.co/Ldc26u2XGU",0,['JirisanEp1'],tl
36,2021-12-06 14:50:58+00:00,siddeigh,"grabe'g december puros group projects, ag among mga silingan maglingaw² nas pista, ag ako naay online class, deadlines, ta's pakantahon pa kos instructor namo live sa zoom meeting😭 HAHAHAHAHAHAHAHAHAHAHA",0,,tl
37,2021-12-06 09:02:02+00:00,nestlesns_,"bwiset na buhay nga naman, kung saka nag start na online class ko tas saka din kayo mag vvideoke?",0,,tl
38,2021-12-05 14:37:27+00:00,_margarettekate,Hirap ng online class amp. Taena sana okay bukas internet connection ko staka sa Wednesday pls lord.,0,,tl
39,2021-12-04 09:43:03+00:00,mrajsnunez_,"Ayun nakatulog ako hahah.. kapagod ang online class. Sorry na agad!
@kaidesantos_ @kkydsnts 

KOKOY PATRICK FASTFORWARD https://t.co/GSB71c7vtt",1,,tl
40,2021-12-02 04:31:50+00:00,ToledoMagno2017,Online class yan tal? 😂✌🏻 @ Valenzuela City https://t.co/S8zascihYO,0,,tl
41,2021-11-30 05:04:50+00:00,YanaNicholeee,mag stock na ulit ng foods para sa online class:&gt;,0,,tl
42,2021-11-26 23:55:25+00:00,Joshuaendaya_,Online Class Muna😘🖤,5,,en
43,2021-11-26 18:23:55+00:00,justme_gel,"Thank you so much po sa late bday gift Ninang Reysan @nasyerjl 🥰 Super happy c Kuya Arth. 😍😊 May pang online class na syang sarili ☺

Simula pagkapanganak plng kay Arth lagi npo kyong may pasabog na gift lagi. Thank you po 🥰 https://t.co/UWDnQTZ0iU",0,,tl
44,2021-11-26 03:29:27+00:00,ashthetic21,"dagdag mo pa yung pressure and stress dulot ng online class. imbis na makapag linis ako sa bahay ng tuloy-tuloy, or kaya makapag focus sa online class hindi ko alam how to manage it well because of my mental health.",0,,tl
45,2021-11-26 02:12:00+00:00,kuyakepz,A Love So Beautiful inspired class picture since our sessions are online and we did not have opportunity to meet...#classmates #batchmates #quicksketch #sketch #digitalart #procreate #drawing #jpineapplepen @Procreate https://t.co/AxO6ao5BWv,2,"['classmates', 'batchmates', 'quicksketch', 'sketch', 'digitalart', 'procreate', 'drawing', 'jpineapplepen']",en
46,2021-11-24 13:48:04+00:00,jptrinidad17,Night duty tapos may online class ka bukas hanggang 6pm then night duty ka ulit ng 8pm to 8am puta patayin niyo na ko HAHAHA https://t.co/HEFlkR9R3d,1,,tl
47,2021-11-22 09:04:46+00:00,Kykykyyyyyyy,Tamang work tas online class HAHAHAHAHA,0,,tl
48,2021-11-22 01:34:47+00:00,dheserrie,@PLDT_Cares salamat sa aksyon sa mabagal naming internet. Sana di na bumagal ulit. 🙏🏻 kawawa ang mga may online class.,0,,tl
49,2021-11-22 01:21:07+00:00,royapoderado_,Yung Hindi kapa natutulog tapos may online class kapa ng 8am to 4pm,0,,tl
50,2021-11-19 13:53:49+00:00,topakKEN,"Ung set up ng f2f, parang mga manok na isasabong. Kaka online sabong nyo yan. Okay class go back to your cages.🤦‍♀️",0,,tl
51,2021-11-19 05:47:51+00:00,llymdchive_,"Online class made so dumb, d ko nga naiintindihan prof ko sa gmeet eh...",2,,tl
52,2021-11-19 05:45:00+00:00,shtrmlkt,anong online class sir? hindi manonood ako ng concert.,0,,tl
53,2021-11-19 01:11:31+00:00,NikkiTalle,Hoy laban sa 2.00 ug 2.50 nga grado sa duha ka sub so kinsay nag ingon nga sayon ra ang online class? Ywa man diay mo HAHAHAHAHAHAHA,1,,tl
54,2021-11-19 00:25:18+00:00,chacha_lim,"Online class setup today 💕
#ChelseaAriana @ Baguio City https://t.co/Ai71a4zAEY",0,['ChelseaAriana'],en
55,2021-11-18 13:37:03+00:00,CafugauanErika,Mas sanay nako sa online class kaya lang siguro ako excited mag ftf para makalabas 😌,2,,tl
56,2021-11-18 07:22:18+00:00,Jnnasvdra,Online class...,0,,en
57,2021-11-18 01:44:52+00:00,barangge,Online class tas nagsiswitch??? Hahahahahhaa https://t.co/vIQJ2eRHo3,0,,tl
58,2021-11-18 01:35:01+00:00,RhommelU,"Physically nakikinig ako 
sa online class, mentally nasa Instagram ako🙂",0,,tl
59,2021-11-17 22:04:04+00:00,rhemdelapaz42,@PLDT_Cares may Nag Online Class sa Bahay!. Nag Data nalang kasi useless yung @PLDTHome hindi magamit kasi Walang internet! Ayusin nyo naman.,0,,tl
60,2021-11-17 17:26:16+00:00,amourkeeyy,Tapos sumasabay pa online class 🤦,0,,tl
61,2021-11-17 10:10:49+00:00,rchmflrs,joke ra bitaw tung gusto namo mg f2f oy. Okay najud najud ning online class mao na bitaw ni nakasanayan natu,0,,tl
62,2021-11-17 09:03:17+00:00,glayzenfinity,"Wala koy problema ug mu push najud ug F2F next sem, as long as naa japoy option na pwede mu online class ra ang uban. We have reasons why F2F classes is not ideal for some of us right now, so I hope we opt for the choice na makapili ta unsay preference nato 😞",4,,en
63,2021-11-17 08:59:10+00:00,immaryann_,"pag sa fb ang bilis ng internet, pero pag online class napakahina aaaa whyyyy hahahahhahahahahaa",0,,tl
64,2021-11-17 06:12:28+00:00,louiemyrocampo,Si ak na madaldal online class na daldal paden sa chat e hahahahahahaha,0,,tl
65,2021-11-17 03:55:09+00:00,aiahflorence,gikapoy najud ko aning online class ayy hahays waiting announcement sa um,0,,tl
66,2021-11-17 03:53:28+00:00,justinehelouise,Gusto ko mag aral ulit kahit yung 2 years lang na online class kasi putangina ngayon ko napapatunayan na ang bobo ko. Hindi na mameasure amp hahahahahhahaha,0,,tl
67,2021-11-17 01:12:17+00:00,candice_wynn,@ANCALERTS @ABSCBNNews @bayanmo rollout sa San Pedro Laguna ang sabi doto sa Robinson Galleria San Pedro Laguna 200 lng vaccine per day pero hindi inabisuhan ang nasa huli na hindi na sila kasama. Na expose na ng todo mga bata at abset pa sa online class! https://t.co/FxAfwxZKMZ,0,,tl
68,2021-11-17 00:45:35+00:00,grsnrms_,pangit kabonding ng hillview wala pa ding internet buti na lang walang online class HAHAHAHAHA,2,,tl
69,2021-11-16 11:40:24+00:00,aliciamarieale2,"Mommy @JelaiAndres  and miss @IamMissGlenda_  live na please excited na ako sana mapili din ako po please online class lang po 
#JelaiAndresIsBrilliant  
@JelaiAndres  @IamMissGlenda_  @JelaiAndres  @IamMissGlenda_",0,['JelaiAndresIsBrilliant'],tl
70,2021-11-16 11:20:26+00:00,aliciamarieale2,"Sana mapili ako mommy pang online class lang sanay mommy @JelaiAndres  @JelaiAndres @JelaiAndres  
#jelaiandresbrilliant 💚 https://t.co/ZvzuteRzH9",0,['jelaiandresbrilliant'],tl
71,2021-11-16 10:52:30+00:00,salengggay,@hildatriciavel Sge tita check ko yan. Pang online class kasi ni David e.,1,,tl
72,2021-11-16 05:48:35+00:00,Trexielicious18,"Hello everyone! Basin naa mo kaila na gusto mo enroll ug EIM ELECTRICAL INSTALLATION AND MAINTENANCE NCll twsp scholars ni sila.

25 days with allowance. Blended class (online &amp; face to face class)
Possible class, next week.

ENROLLMENT STARTS TOMORROW!!",0,,en
73,2021-11-16 04:11:21+00:00,M_Undecidedlife,gagi ang funny ng online class kanina sa retorika HAHAHHAA hinaluan na ng katarantaduhan 😆,1,,tl
74,2021-11-16 03:35:50+00:00,introbarf,Im actually looking forward to renovating one of our storage room at home and converting it to an office for streaming/work/online class for me and my siblings.,5,,en
75,2021-11-15 11:10:16+00:00,its_nikka8,Ge kapoy nako aning online class jd plus hinay pa jd internet kapoy na kaayo ni :&gt;,1,,tl
76,2021-11-15 11:05:40+00:00,LilKebyoung,"Unta tanan communication signals sa Philippines mawala, aron way online class.",2,,tl
77,2021-11-15 04:17:51+00:00,MrsVidad,Parang nakaka hiya ng mag online class dito sa bahay sa dami masyado ng inuutos.,0,,tl
78,2021-11-15 03:32:58+00:00,allaingatmaitan,tulog pa more habang online class  pag gising mo ikaw na lang na sa google meet,1,,tl
79,2021-11-13 18:10:28+00:00,NolascoPaolo,hirap pag sabayin yung f2f acie sabay foodpanda tsaka online class 😴,0,,tl
80,2021-11-12 15:12:22+00:00,01302002loc,knows na  kayo ang dili bet nga people if f2f na kay sa module &amp; online class palang daan very SIP SQUARED na,0,,tl
81,2021-11-12 13:39:39+00:00,quesaviel24,Skipped my online class today because of #RedTaylorsVersion https://t.co/o2uXgHhWtO,2,['RedTaylorsVersion'],en
82,2021-11-12 10:50:54+00:00,MughXyuu,Bigat ng ulo tapos mata kooo tapos yung online class ko pa nakikisabay pa piste,0,,tl
83,2021-11-12 06:27:58+00:00,geeyaaaaaass,"ONLINE CLASS &lt; RED (TAYLOR’S VERSION)

#RedTaylorsVersion",0,['RedTaylorsVersion'],en
84,2021-11-12 05:19:10+00:00,KingObrar__,SANDALEEEEEE LANG NAMAN HUHUHU HIRAP MAG EMOTE SA ONLINE CLASS,0,,tl
85,2021-11-09 12:49:28+00:00,ikaris014,Puro sakit ng katawan nakuha ko this online class inang pandemic to.,3,,tl
86,2021-11-09 08:55:56+00:00,vncldc,"PLDT unta makabalo mo nga daghan kayog studyante galisud na sa online class karon tapos dungagan pa ninyog bati nga service 

mga bati mog nawong",8,,tl
87,2021-11-09 07:32:43+00:00,lei_macasu,Tagal matapos ng online class 🥱,3,,tl
88,2021-11-09 06:05:22+00:00,bgenevievefua,Online class featuring Lucifer ✨ https://t.co/DN7HM3y01c,0,,en
89,2021-11-09 05:06:04+00:00,shtrmlkt,sino nagsabing nakikinig ako sa online class? duh char,0,,tl
90,2021-11-09 00:36:44+00:00,jghamoranto,"Sa mga students na nagsasabing masaya ang Online Class, what do you like about it? Share niyo naman. 🥲 https://t.co/QxyLmm624K",13,,tl
91,2021-11-08 09:18:31+00:00,whatrn,"The eff… I just finished with my online class when I saw this… #Bitcoin @ Liloy, Zamboanga del Norte https://t.co/w36bLsJagk",0,['Bitcoin'],en
92,2021-11-08 03:09:04+00:00,PhineDolly,"Online class sabong, Dazo vs sir J. 🤣",0,,en
93,2021-11-08 00:48:37+00:00,Agathamendoza9,@vicegandako Online Class feel:&gt;,0,,en
94,2021-11-08 00:47:27+00:00,janleeeeen,"Konting paghihirap na lang, malapit na tayo sa ating mga pangarap. Kahit sobrang hirap na.. lalo nang set up ngayong online class... Kapit lang...",1,,tl
95,2021-11-08 00:06:14+00:00,shanelllyka,ikacaldereta ko yun kapag tumahol kapag may online class ako,0,,tl
96,2021-11-07 14:08:50+00:00,lebbiesaja,"@KM_Jessica_Soho #KMJS
EXCITED AKO SA SHOKOY NA ITO..
WATCHING ALWAYS AT CABUYAO LAGUNA...SANA ISA AKONG MABIGYAN NG 5,000 PAMBILI NG TABLET PARA SA ONLINE CLASS NG ANAK KO..",0,['KMJS'],tl
97,2021-11-07 04:49:52+00:00,Tamtamdelapena,Online class na po 😊 pasok na us,1,,tl
98,2021-11-07 00:35:23+00:00,UrLoveey,sabi ko nga okay na kame sa online class 🙂 https://t.co/rMJXpKn2EE,0,,tl
99,2021-11-05 03:16:28+00:00,kwenikiks,"I need some dagat, gagoeh!
Ano'ng gagawin ko dito sa bahay?
What's not clicking ✨online class✨ ?
Laag ta'g Surigao, right now!!! https://t.co/iH9WPZvHUk",0,,tl
100,2021-11-04 12:53:16+00:00,rlphgrtzky,mao jud ni ang disadvantage sa online class ba hays,0,,tl
101,2021-11-04 09:42:18+00:00,Emmanregondola,Online class,0,,en
102,2021-11-04 06:39:02+00:00,Sofialaisaa,bayunn online class na nga nangbbackstab paa HAHAHA PAPATAYIN KO KAYO LALO SA INGGIT,4,,tl
103,2021-11-04 05:36:05+00:00,faith_anniecka,online class habang nagfofoodtrip,0,,tl
104,2021-11-04 05:00:18+00:00,bosslugaw,"I was having my online class session, sabi ko bigla, good morning sa ating mga listeners.. referring sa mga naka off cam. Yung mga naka on cam was speaking and interacting kase.. gosh space na asa isip ko. Lol",7,,tl
105,2021-11-04 04:42:19+00:00,inumakipanda,"I just wanna share lang may online class yung kapatid ko tapos ang topic nila about BBM bakit hindi karapat-dapat ang BBM, PROUD ako  KASE NAG RESEARCH yung kapatid ko. 

noto bbm 💕👌 https://t.co/QnuaOs8pO2",2,,tl
106,2021-11-03 15:09:40+00:00,wjthal,sanaol may discord full storage na kasi ako dahil sa mga online class apps ko 😭,0,,tl
107,2021-11-03 14:14:10+00:00,technolojing,"Afatay ning online class uyy naay activity na magsayaw, kanta mag tula, magreport, magspeech..madamay pa ta.. tskkkk..",0,,tl
108,2021-11-03 07:16:37+00:00,maaaaarjuuuuun,I use my 1hour break sa work to attend my online class skl.,1,,en
109,2021-11-02 08:43:44+00:00,gtgmyownway,"@ShopeePH Letter E.

Mas magagamit ko for online class yung phone kasi pwede kahit data lang unlike sa laptop huhu, wala kami internet bestie shopeepee. Baka naman pwede paisa ng letter E dyan hehe labyu bye",0,,tl
110,2021-11-02 08:42:41+00:00,gtgmyownway,"@ShopeePH Letter E.

Mas magagamit ko for online class yung phone kasi pwede kahit data lang unlike sa laptop, wala kami internet best shopeepee. Baka naman letter E dyan hehe",0,,tl
111,2021-11-02 03:34:35+00:00,lei_macasu,Online class na nga may SipSip pa! at ako daw Yun hahaha.,4,,tl
112,2021-11-02 02:07:11+00:00,markquins,"ang hapdi na ng mata ko kaka-computer
itigil na natin 'tong online class at lahat ng mga virtual ganap na yan ‼️",3,,tl
113,2021-11-01 23:52:21+00:00,AjGazmen,"Pa online online class kayo tapos tatanungin nyo ESTYUDANTE nyo bat puro sila reklamo, at sasabihan na di naman ganyan noon sa F2F. Well the stress that online class creates is far different from F2F.!!?",0,,tl
114,2021-10-30 15:42:50+00:00,imcherrygarces,akala siguro ng iba ay napakadali ng mag aral at online class naman🧐,7,,tl
115,2021-10-29 23:47:50+00:00,Jebondocpogi,Obob nako pero naobob ata ako lalo sa online class 😢,0,,tl
116,2021-10-29 22:00:31+00:00,syzy6y,WFH/online class would be awesome if my place looked this beautiful 🤩💻 https://t.co/IF8DGmemLO,5,,en
117,2021-10-29 07:37:39+00:00,lolitsCloide,Online discohan ft. Rizal Class✨💖,0,,en
118,2021-10-29 05:46:25+00:00,MLManikan,@jennybalboda Ok nmn jen.Finaaaallly pahinga muna sa online class. pero tambak ang ccheckan 🤣👊,0,,tl
119,2021-10-29 02:44:06+00:00,maowsss,"kakapoy ba aning online class uy, nag practical unya akong mama sige sinamok kay naay ipabuhat ako pa karun ang dautan kay dili madali lisud man pud og unahon nako naa nga mabagsak pa lang ko ani nga task yawaa uy.",4,,tl
120,2021-10-28 13:24:04+00:00,jchllenrqz,@Jetpachi @khymartin AYAN HALATANG MAY GINAGAGO NANAMAN KAYO SA ONLINE CLASS HAHAHAHAHA,1,,tl
121,2021-10-28 13:03:26+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
117",0,['ShopeePH1111BigChristmasSale'],tl
122,2021-10-28 13:03:21+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
116",0,['ShopeePH1111BigChristmasSale'],tl
123,2021-10-28 13:03:16+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
115",0,['ShopeePH1111BigChristmasSale'],tl
124,2021-10-28 13:03:11+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
114",1,['ShopeePH1111BigChristmasSale'],tl
125,2021-10-28 13:03:05+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
113",0,['ShopeePH1111BigChristmasSale'],tl
126,2021-10-28 13:03:01+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
112",0,['ShopeePH1111BigChristmasSale'],tl
127,2021-10-28 13:02:56+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
111",0,['ShopeePH1111BigChristmasSale'],tl
128,2021-10-28 13:02:11+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
111",0,['ShopeePH1111BigChristmasSale'],tl
129,2021-10-28 11:42:38+00:00,Loveins10,Hay kung may award lang ya online class best in tulog gid siguro ko ba,0,,tl
130,2021-10-28 03:57:48+00:00,amourkeeyy,Parang gusto ko na ulit magbasa ng wattpad 🤔 hmmm nastop lang naman kasi may online class 😑,0,,tl
131,2021-10-28 02:34:19+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
82",0,['ShopeePH1111BigChristmasSale'],tl
132,2021-10-28 02:34:14+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
81",0,['ShopeePH1111BigChristmasSale'],tl
133,2021-10-28 02:34:08+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
80",0,['ShopeePH1111BigChristmasSale'],tl
134,2021-10-28 02:33:56+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
79",0,['ShopeePH1111BigChristmasSale'],tl
135,2021-10-28 02:33:52+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
78",0,['ShopeePH1111BigChristmasSale'],tl
136,2021-10-28 02:33:48+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
77",0,['ShopeePH1111BigChristmasSale'],tl
137,2021-10-28 02:33:44+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
76",0,['ShopeePH1111BigChristmasSale'],tl
138,2021-10-28 02:33:39+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
75",0,['ShopeePH1111BigChristmasSale'],tl
139,2021-10-28 02:33:35+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
74",0,['ShopeePH1111BigChristmasSale'],tl
140,2021-10-28 02:33:29+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
73",0,['ShopeePH1111BigChristmasSale'],tl
141,2021-10-28 02:33:25+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
72",0,['ShopeePH1111BigChristmasSale'],tl
142,2021-10-28 02:33:21+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
71",0,['ShopeePH1111BigChristmasSale'],tl
143,2021-10-28 02:33:17+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
70",0,['ShopeePH1111BigChristmasSale'],tl
144,2021-10-28 02:33:05+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
69",0,['ShopeePH1111BigChristmasSale'],tl
145,2021-10-28 02:33:01+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
68",0,['ShopeePH1111BigChristmasSale'],tl
146,2021-10-28 02:32:56+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
67",0,['ShopeePH1111BigChristmasSale'],tl
147,2021-10-28 02:32:51+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
66",0,['ShopeePH1111BigChristmasSale'],tl
148,2021-10-28 02:32:46+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
65",0,['ShopeePH1111BigChristmasSale'],tl
149,2021-10-28 02:32:42+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
64",0,['ShopeePH1111BigChristmasSale'],tl
150,2021-10-28 02:32:38+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
63",0,['ShopeePH1111BigChristmasSale'],tl
151,2021-10-28 02:32:33+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
62",0,['ShopeePH1111BigChristmasSale'],tl
152,2021-10-28 02:32:28+00:00,gtgmyownway,"@ShopeePH Letter E

Para sa online class namin ng kapatid ko besty shopeepee. ☺️

#ShopeePH1111BigChristmasSale 
61",0,['ShopeePH1111BigChristmasSale'],tl
